cell_id,temperature_c,hppc_protocol,eis_record_index,eis_ocv_value,candidate_rule,adaptive_rule,candidate_id,pre_rest_voltage_v,ocv_delta_v,abs_ocv_delta_v,pulse_duration_s,post_rest_s,median_current_a,baseline_mode,include_pre_s,include_post_s,time_lambda,eis_fmin_hz,eis_fmax_hz,eis_lambda,eis_lambda_sequence,attempted_eis_lambdas,eis_points,eis_frequency_min_hz,eis_frequency_max_hz,eis_real_rmse_ohm,eis_img_rmse_ohm,time_rmse_mv,r0_ohm,corr,scaled_rmse,quality_pass,quality_flags,finder_candidate_count
59690,25,HPPC_1C,2,3.6324291229248047,nearest_long_discharge,primary_lambda,21,3.62909,-0.0033391229248045384,0.0033391229248045384,359.9003999999986,3599.0036000000036,-57.99911,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,4.440059835168769e-06,3.1661482390759236e-06,4.141946455031099,0.0009504518158487573,0.9292863391423642,0.36867377765288456,True,,27
59861,25,HPPC_1C,0,3.96073579788208,nearest_long_discharge,primary_lambda,9,3.956056,-0.004679797882080283,0.004679797882080283,359.90090000000055,3599.0040999999983,-58.00047,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,4.938309242766686e-06,2.8223004958592995e-06,3.455646786347821,0.000957501936857361,0.9291623622402617,0.3696046437819062,True,,27
59861,25,HPPC_1C,1,3.725341320037842,nearest_long_discharge,primary_lambda,15,3.717662,-0.007679320037841997,0.007679320037841997,359.9003999999986,3599.0037999999986,-58.00058,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,5.339076018457637e-06,4.154050193793076e-06,3.044024788565181,0.0009789458046450446,0.9296773484378346,0.36756673403527185,True,,27
59861,25,HPPC_1C,2,3.6326956748962402,nearest_long_discharge,primary_lambda,21,3.6294415,-0.0032541748962402473,0.0032541748962402473,359.9003999999986,3599.0045000000064,-58.0008,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,4.043297776973234e-06,3.3829992271467653e-06,3.94419103181762,0.0009658053513603157,0.9286542136040011,0.3707665715345131,True,,27
60031,25,HPPC_1C,0,3.962251663208008,nearest_long_discharge,primary_lambda,9,3.957799,-0.0044526632080077455,0.0044526632080077455,359.9008000000031,3599.003700000001,-57.99799,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,5.345603076585669e-06,3.664656304964825e-06,3.520061341519334,0.0009250400969364343,0.9238396074992822,0.38286158714681506,True,,30
60031,25,HPPC_1C,1,3.7262468338012695,nearest_long_discharge,primary_lambda,15,3.720281,-0.005965833801269582,0.005965833801269582,359.9008000000031,3599.0039999999863,-58.00027,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,5.670649029462679e-06,3.806792080982236e-06,3.157536861012902,0.0009278430801580326,0.9290801156861122,0.3691744368995774,True,,30
60031,25,HPPC_1C,2,3.6314001083374023,nearest_long_discharge,primary_lambda,21,3.6283355,-0.003064608337402408,0.003064608337402408,359.9006999999983,3599.0039999999863,-58.00036,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,5.321914255835476e-06,2.7076886762997323e-06,4.202102508024982,0.000899428607100732,0.9280208265679384,0.3720689656492355,True,,30
60031,25,HPPC_1C,3,3.5021495819091797,first_short_candidate_passing_ocv_rmse_corr_gate,primary_lambda,25,3.494833,-0.007316581909179831,0.007316581909179831,9.900699999998324,599.9009000000078,-57.99993,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,2.9001744150326953e-06,3.0035766880502994e-06,0.8048940785069284,0.0011586255118525184,0.9288325937114864,0.36921433542946325,True,,30
60129,25,HPPC_1C,0,3.961254596710205,nearest_long_discharge,primary_lambda,9,3.9562165,-0.005038096710205053,0.005038096710205053,359.9005999999936,3599.0034999999916,-57.99905,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,5.111660929958988e-06,3.308510710479165e-06,3.4258327622657947,0.0008881909971322349,0.9250904698831944,0.37963608658939246,True,,30
60129,25,HPPC_1C,1,3.727700710296631,nearest_long_discharge,primary_lambda,15,3.7216815,-0.006019210296630995,0.006019210296630995,359.9004000000132,3599.003299999982,-57.99679,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,4.168022424357247e-06,2.5654144972466852e-06,3.1138375992628755,0.0008935166560989344,0.9280546327146767,0.37282662612326517,True,,30
60129,25,HPPC_1C,2,3.632996082305908,nearest_long_discharge,primary_lambda,21,3.629765,-0.003231082305908295,0.003231082305908295,359.9005000000179,3599.0041999999958,-57.99905,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,4.288554819740847e-06,3.6890496849527422e-06,3.9408632318588137,0.0008742103320017127,0.9289896585676111,0.3694011195380268,True,,30
60129,25,HPPC_1C,3,3.5047621726989746,first_short_candidate_passing_ocv_rmse_corr_gate,primary_lambda,25,3.496642,-0.008120172698974581,0.008120172698974581,9.900499999988824,599.9008999999787,-57.99944,time_charge,120.0,1200.0,0.001,0.03,50.0,3.0,"3.0,0.1",3.0,22,0.03729119896888733,38.4221305847168,4.3413463882552944e-06,2.546467519921421e-06,0.7682832117744101,0.001115854037600469,0.9287984692205784,0.36938827182995326,True,,30
